pipeline,language,method,vocab_size,algorithm,macro_f1
stopword,turkish,gini,50,TextCNN,0.9214
stopword,turkish,gini,50,LSTM,0.9372
stopword,turkish,gini,30,SVM,0.9216
stopword,turkish,gini,30,MNB,0.9215
stopword,turkish,gini,30,RF,0.9333
stopword,turkish,gini,30,TextCNN,0.9254
stopword,turkish,gini,30,LSTM,0.9332
stopword,turkish,gini,10,SVM,0.8901
stopword,turkish,gini,10,MNB,0.7668
stopword,turkish,gini,10,RF,0.8782
stopword,turkish,gini,10,TextCNN,0.8819
stopword,turkish,gini,10,LSTM,0.8784
stopword,turkish,dfs,500,SVM,0.9686
stopword,turkish,dfs,500,MNB,0.9568
stopword,turkish,dfs,500,RF,0.9569
stopword,turkish,dfs,500,TextCNN,0.9568
stopword,turkish,dfs,500,LSTM,0.9568
stopword,turkish,dfs,300,SVM,0.9686
stopword,turkish,dfs,300,MNB,0.949
stopword,turkish,dfs,300,RF,0.9569
stopword,turkish,dfs,300,TextCNN,0.9568
stopword,turkish,dfs,300,LSTM,0.9529
stopword,turkish,dfs,100,SVM,0.949
stopword,turkish,dfs,100,MNB,0.9294
stopword,turkish,dfs,100,RF,0.9569
stopword,turkish,dfs,100,TextCNN,0.9332
stopword,turkish,dfs,100,LSTM,0.9332
stopword,turkish,dfs,50,SVM,0.9333
stopword,turkish,dfs,50,MNB,0.9294
stopword,turkish,dfs,50,RF,0.9333
stopword,turkish,dfs,50,TextCNN,0.9253
stopword,turkish,dfs,50,LSTM,0.9253
stopword,turkish,dfs,30,SVM,0.9176
stopword,turkish,dfs,30,MNB,0.9412
stopword,turkish,dfs,30,RF,0.9058
stopword,turkish,dfs,30,TextCNN,0.9137
stopword,turkish,dfs,30,LSTM,0.9058
stopword,turkish,dfs,10,SVM,0.8901
stopword,turkish,dfs,10,MNB,0.7668
stopword,turkish,dfs,10,RF,0.8782
stopword,turkish,dfs,10,TextCNN,0.8705
stopword,turkish,dfs,10,LSTM,0.8784
stemming,turkish,gini,500,SVM,0.9686
stemming,turkish,gini,500,MNB,0.9253
stemming,turkish,gini,500,RF,0.9686
stemming,turkish,gini,500,TextCNN,0.9608
stemming,turkish,gini,500,LSTM,0.9569
stemming,turkish,gini,300,SVM,0.9647
stemming,turkish,gini,300,MNB,0.9332
stemming,turkish,gini,300,RF,0.9647
stemming,turkish,gini,300,TextCNN,0.9647
stemming,turkish,gini,300,LSTM,0.949
stemming,turkish,gini,100,SVM,0.9569
stemming,turkish,gini,100,MNB,0.9097
stemming,turkish,gini,100,RF,0.949
stemming,turkish,gini,100,TextCNN,0.949
stemming,turkish,gini,100,LSTM,0.9412
stemming,turkish,gini,50,SVM,0.9017
stemming,turkish,gini,50,MNB,0.9255
stemming,turkish,gini,50,RF,0.949
stemming,turkish,gini,50,TextCNN,0.9372
stemming,turkish,gini,50,LSTM,0.9294
stemming,turkish,gini,30,SVM,0.9017
stemming,turkish,gini,30,MNB,0.9176
stemming,turkish,gini,30,RF,0.9254
stemming,turkish,gini,30,TextCNN,0.9134
stemming,turkish,gini,30,LSTM,0.9175
stemming,turkish,gini,10,SVM,0.9175
stemming,turkish,gini,10,MNB,0.8237
stemming,turkish,gini,10,RF,0.8814
stemming,turkish,gini,10,TextCNN,0.8975
stemming,turkish,gini,10,LSTM,0.8975
stemming,turkish,dfs,500,SVM,0.9725
stemming,turkish,dfs,500,MNB,0.9292
stemming,turkish,dfs,500,RF,0.9608
stemming,turkish,dfs,500,TextCNN,0.9647
stemming,turkish,dfs,500,LSTM,0.9647
stemming,turkish,dfs,300,SVM,0.9765
stemming,turkish,dfs,300,MNB,0.9292
stemming,turkish,dfs,300,RF,0.9647
stemming,turkish,dfs,300,TextCNN,0.9725
stemming,turkish,dfs,300,LSTM,0.9686
stemming,turkish,dfs,100,SVM,0.949
stemming,turkish,dfs,100,MNB,0.9254
stemming,turkish,dfs,100,RF,0.9608
stemming,turkish,dfs,100,TextCNN,0.9647
stemming,turkish,dfs,100,LSTM,0.9569
stemming,turkish,dfs,50,SVM,0.9136
stemming,turkish,dfs,50,MNB,0.9333
stemming,turkish,dfs,50,RF,0.949
stemming,turkish,dfs,50,TextCNN,0.9411
stemming,turkish,dfs,50,LSTM,0.9411
stemming,turkish,dfs,30,SVM,0.9017
stemming,turkish,dfs,30,MNB,0.9137
stemming,turkish,dfs,30,RF,0.9333
stemming,turkish,dfs,30,TextCNN,0.9254
stemming,turkish,dfs,30,LSTM,0.9214
stemming,turkish,dfs,10,SVM,0.9175
stemming,turkish,dfs,10,MNB,0.8237
stemming,turkish,dfs,10,RF,0.8814
stemming,turkish,dfs,10,TextCNN,0.8975
stemming,turkish,dfs,10,LSTM,0.8975
full,turkish,gini,500,SVM,0.9686
full,turkish,gini,500,MNB,0.9411
full,turkish,gini,500,RF,0.9608
full,turkish,gini,500,TextCNN,0.9529
full,turkish,gini,500,LSTM,0.949
full,turkish,gini,300,SVM,0.9686
full,turkish,gini,300,MNB,0.949
full,turkish,gini,300,RF,0.9647
full,turkish,gini,300,TextCNN,0.9529
full,turkish,gini,300,LSTM,0.9529
full,turkish,gini,100,SVM,0.9333
full,turkish,gini,100,MNB,0.9176
full,turkish,gini,100,RF,0.9608
full,turkish,gini,100,TextCNN,0.9608
full,turkish,gini,100,LSTM,0.9647
full,turkish,gini,50,SVM,0.9451
full,turkish,gini,50,MNB,0.9176
full,turkish,gini,50,RF,0.9529
full,turkish,gini,50,TextCNN,0.9411
full,turkish,gini,50,LSTM,0.9332
full,turkish,gini,30,SVM,0.9294
full,turkish,gini,30,MNB,0.9294
full,turkish,gini,30,RF,0.9293
full,turkish,gini,30,TextCNN,0.9372
full,turkish,gini,30,LSTM,0.9253
full,turkish,gini,10,SVM,0.9098
full,turkish,gini,10,MNB,0.7933
full,turkish,gini,10,RF,0.898
full,turkish,gini,10,TextCNN,0.9136
full,turkish,gini,10,LSTM,0.9056
full,turkish,dfs,500,SVM,0.9647
full,turkish,dfs,500,MNB,0.9489
full,turkish,dfs,500,RF,0.9608
full,turkish,dfs,500,TextCNN,0.9529
full,turkish,dfs,500,LSTM,0.9569
full,turkish,dfs,300,SVM,0.9686
full,turkish,dfs,300,MNB,0.9372
full,turkish,dfs,300,RF,0.9647
full,turkish,dfs,300,TextCNN,0.9725
full,turkish,dfs,300,LSTM,0.9686
full,turkish,dfs,100,SVM,0.9569
full,turkish,dfs,100,MNB,0.9254
full,turkish,dfs,100,RF,0.9686
full,turkish,dfs,100,TextCNN,0.9529
full,turkish,dfs,100,LSTM,0.9529
full,turkish,dfs,50,SVM,0.9333
full,turkish,dfs,50,MNB,0.9294
full,turkish,dfs,50,RF,0.949
full,turkish,dfs,50,TextCNN,0.9331
full,turkish,dfs,50,LSTM,0.941
full,turkish,dfs,30,SVM,0.9136
full,turkish,dfs,30,MNB,0.9333
full,turkish,dfs,30,RF,0.9293
full,turkish,dfs,30,TextCNN,0.9253
full,turkish,dfs,30,LSTM,0.9214
full,turkish,dfs,10,SVM,0.9175
full,turkish,dfs,10,MNB,0.7801
full,turkish,dfs,10,RF,0.9175
full,turkish,dfs,10,TextCNN,0.8977
full,turkish,dfs,10,LSTM,0.9055
